1,Massachusetts Institute of Technology,Cambridge
2,Harvard University,Cambridge
3,Stanford University,Stanford ...
4,Cornell University,Ithaca
5,"University of California, Berkeley",Berkeley ...
6,Columbia University in the City of New York,New York City
7,University of Michigan,Ann Arbor ...
8,University of Washington,Seattle ...
9,University of Pennsylvania,Philadelphia
10,University of Minnesota-Twin Cities,Minneapolis ...
11,Yale University,New Haven
12,"University of California, Los Angeles",Los Angeles ...
13,Johns Hopkins University,Baltimore ...
14,The University of Texas at Austin,Austin
15,New York University,New York City ...
16,University of Wisconsin-Madison,Madison
17,Purdue University,West Lafayette
18,Penn State University,University Park ...
19,Princeton University,Princeton
20,Carnegie Mellon University,Pittsburgh ...
21,University of Southern California,Los Angeles
22,University of Chicago,Chicago
23,Arizona State University,Tempe ...
24,University of Florida,Gainesville
25,Michigan State University,East Lansing
26,"University of California, San Diego",San Diego ...
27,University of Illinois at Urbana-Champaign,Champaign ...
28,University of North Carolina at Chapel Hill,Chapel Hill
29,Duke University,Durham
30,Northwestern University,Evanston ...
31,"University of California, Davis",Davis ...
32,Boston University,Boston ...
33,University of Maryland,College Park
34,"Rutgers, The State University of New Jersey",New Brunswick ...
35,"University of California, Irvine",Irvine ...
36,The University of Arizona,Tucson
37,Texas A&M University,College Station
38,The University of Utah,Salt Lake City
39,University of Virginia,Charlottesville ...
40,The Ohio State University,Columbus ...
41,University of Colorado Boulder,Boulder
42,North Carolina State University,Raleigh
43,Georgia Institute of Technology,Atlanta
44,University of Pittsburgh,Pittsburgh ...
45,Indiana University Bloomington,Bloomington
46,California Institute of Technology,Pasadena
47,Washington University in St. Louis,St. Louis
48,"University of California, Santa Barbara",Santa Barbara ...
49,Georgetown University,Washington
50,Tufts University,Medford
51,University of Nebraska-Lincoln,Lincoln
52,Virginia Polytechnic Institute and State University,Blacksburg
53,Florida State University,Tallahassee ...
54,University of South Florida,Tampa ...
55,Oregon State University,Corvallis ...
56,University of Massachusetts Amherst,Amherst
57,University of Georgia,Athens
58,Brown University,Providence
59,Iowa State University,Ames
60,Brigham Young University,Provo
61,University of Rochester,Rochester
62,University of Iowa,Iowa City ...
63,"University of California, Riverside",Riverside ...
64,Washington State University,Pullman
65,University of Delaware,Newark
66,Georgia State University,Atlanta
67,William Marsh Rice University,Houston
68,"University at Buffalo, State University of New York",Buffalo ...
69,Dartmouth College,Hanover
70,George Washington University,Washington ...
71,Vanderbilt University,Nashville
72,Syracuse University,Syracuse
73,Colorado State University,Fort Collins
74,University of Houston,Houston
75,George Mason University,Fairfax
76,University of Oregon,Eugene ...
77,"University of California, Santa Cruz",Santa Cruz ...
78,University of Illinois at Chicago,Chicago ...
79,"University of California, San Francisco",San Francisco ...
80,University of Notre Dame,Notre Dame
81,University of Connecticut,Storrs ...
82,Emory University,Atlanta
83,Temple University,Philadelphia ...
84,Northeastern University,Boston ...
85,University of Missouri,Columbia
86,University of Central Florida,Orlando ...
87,University of Kansas,Lawrence ...
88,University of Kentucky,Lexington
89,Florida International University,Miami
90,University of New Mexico,Albuquerque ...
91,Drexel University,Philadelphia
92,"The University of Tennessee, Knoxville",Knoxville ...
93,Rochester Institute of Technology,Rochester
94,University of Miami,Coral Gables ...
95,Louisiana State University,Baton Rouge
96,The University of Alabama,Tuscaloosa
97,San Diego State University,San Diego ...
98,American University,Washington
99,Boston College,Chestnut Hill
100,Fordham University,The Bronx ...
101,The University of Oklahoma,Norman ...
102,University of Vermont,Burlington
103,The University of Tennessee at Martin,Martin ...
104,University of New Hampshire,Durham ...
105,Clemson University,Clemson
106,University of Cincinnati,Cincinnati
107,University of North Texas,Denton ...
108,University of South Carolina,Columbia ...
109,Southern Methodist University,Dallas
110,"California State University, Northridge",Northridge
111,San José State University,San José
112,Utah State University,Logan ...
